index	sample
1	Amos_10_S108_L002_paired_ashad_sorted_marked_rg
2	Amos_11_S114_L002_paired_ashad_sorted_marked_rg
3	Amos_12_S118_L002_paired_ashad_sorted_marked_rg
4	Amos_13_S121_L002_paired_ashad_sorted_marked_rg
5	Amos_16_S124_L002_paired_ashad_sorted_marked_rg
6	Amos_17_S67_L002_paired_ashad_sorted_marked_rg
7	Amos_18_S73_L002_paired_ashad_sorted_marked_rg
8	Amos_19_S79_L002_paired_ashad_sorted_marked_rg
9	Amos_20_S85_L002_paired_ashad_sorted_marked_rg
10	Amos_22_S91_L002_paired_ashad_sorted_marked_rg
11	Amos_23_S97_L002_paired_ashad_sorted_marked_rg
12	Amos_25_S103_L002_paired_ashad_sorted_marked_rg
13	Amos_26_S109_L002_paired_ashad_sorted_marked_rg
14	Amos_28_S115_L002_paired_ashad_sorted_marked_rg
15	Amos_3_S66_L002_paired_ashad_sorted_marked_rg
16	Amos_4_S72_L002_paired_ashad_sorted_marked_rg
17	Amos_5_S78_L002_paired_ashad_sorted_marked_rg
18	Amos_6_S84_L002_paired_ashad_sorted_marked_rg
19	Amos_7_S90_L002_paired_ashad_sorted_marked_rg
20	Amos_8_S96_L002_paired_ashad_sorted_marked_rg
21	Amos_9_S102_L002_paired_ashad_sorted_marked_rg
