index	sample
1	Bride_10_S29_L001_paired_ashad_sorted_marked_rg
2	Bride_11_S30_L001_paired_ashad_sorted_marked_rg
3	Bride_12_S31_L001_paired_ashad_sorted_marked_rg
4	Bride_13_S32_L001_paired_ashad_sorted_marked_rg
5	Bride_14_S33_L001_paired_ashad_sorted_marked_rg
6	Bride_15_S34_L001_paired_ashad_sorted_marked_rg
7	Bride_16_S35_L001_paired_ashad_sorted_marked_rg
8	Bride_17_S36_L001_paired_ashad_sorted_marked_rg
9	Bride_18_S37_L001_paired_ashad_sorted_marked_rg
10	Bride_19_S38_L001_paired_ashad_sorted_marked_rg
11	Bride_1_S20_L001_paired_ashad_sorted_marked_rg
12	Bride_20_S39_L001_paired_ashad_sorted_marked_rg
13	Bride_21_S40_L001_paired_ashad_sorted_marked_rg
14	Bride_22_S41_L001_paired_ashad_sorted_marked_rg
15	Bride_23_S42_L001_paired_ashad_sorted_marked_rg
16	Bride_24_S43_L001_paired_ashad_sorted_marked_rg
17	Bride_25_S44_L001_paired_ashad_sorted_marked_rg
18	Bride_26_S45_L001_paired_ashad_sorted_marked_rg
19	Bride_27_S46_L001_paired_ashad_sorted_marked_rg
20	Bride_28_S47_L001_paired_ashad_sorted_marked_rg
21	Bride_29_S48_L001_paired_ashad_sorted_marked_rg
22	Bride_2_S21_L001_paired_ashad_sorted_marked_rg
23	Bride_30_S49_L001_paired_ashad_sorted_marked_rg
24	Bride_3_S22_L001_paired_ashad_sorted_marked_rg
25	Bride_4_S23_L001_paired_ashad_sorted_marked_rg
26	Bride_5_S24_L001_paired_ashad_sorted_marked_rg
27	Bride_6_S25_L001_paired_ashad_sorted_marked_rg
28	Bride_7_S26_L001_paired_ashad_sorted_marked_rg
29	Bride_8_S27_L001_paired_ashad_sorted_marked_rg
30	Bride_9_S28_L001_paired_ashad_sorted_marked_rg
