index	sample
1	Long_11_S98_L002_paired_ashad_sorted_marked_rg
2	Long_12_S104_L002_paired_ashad_sorted_marked_rg
3	Long_14_S110_L002_paired_ashad_sorted_marked_rg
4	Long_15_S116_L002_paired_ashad_sorted_marked_rg
5	Long_16_S119_L002_paired_ashad_sorted_marked_rg
6	Long_18_S122_L002_paired_ashad_sorted_marked_rg
7	Long_19_S125_L002_paired_ashad_sorted_marked_rg
8	Long_20_S69_L002_paired_ashad_sorted_marked_rg
9	Long_22_S75_L002_paired_ashad_sorted_marked_rg
10	Long_23_S81_L002_paired_ashad_sorted_marked_rg
11	Long_25_S87_L002_paired_ashad_sorted_marked_rg
12	Long_26_S93_L002_paired_ashad_sorted_marked_rg
13	Long_27_S99_L002_paired_ashad_sorted_marked_rg
14	Long_28_S105_L002_paired_ashad_sorted_marked_rg
15	Long_2_S68_L002_paired_ashad_sorted_marked_rg
16	Long_30_S111_L002_paired_ashad_sorted_marked_rg
17	Long_3_S74_L002_paired_ashad_sorted_marked_rg
18	Long_7_S80_L002_paired_ashad_sorted_marked_rg
19	Long_8_S86_L002_paired_ashad_sorted_marked_rg
20	Long_9_S92_L002_paired_ashad_sorted_marked_rg
