index	sample
1	Pat_10_S10_L001_paired_ashad_sorted_marked_rg
2	Pat_11_S11_L001_paired_ashad_sorted_marked_rg
3	Pat_12_S12_L001_paired_ashad_sorted_marked_rg
4	Pat_13_S13_L001_paired_ashad_sorted_marked_rg
5	Pat_14_S14_L001_paired_ashad_sorted_marked_rg
6	Pat_15_S15_L001_paired_ashad_sorted_marked_rg
7	Pat_16_S16_L001_paired_ashad_sorted_marked_rg
8	Pat_17_S17_L001_paired_ashad_sorted_marked_rg
9	Pat_18_S18_L001_paired_ashad_sorted_marked_rg
10	Pat_19_S19_L001_paired_ashad_sorted_marked_rg
11	Pat_1_S1_L001_paired_ashad_sorted_marked_rg
12	Pat_2_S2_L001_paired_ashad_sorted_marked_rg
13	Pat_3_S3_L001_paired_ashad_sorted_marked_rg
14	Pat_4_S4_L001_paired_ashad_sorted_marked_rg
15	Pat_5_S5_L001_paired_ashad_sorted_marked_rg
16	Pat_6_S6_L001_paired_ashad_sorted_marked_rg
17	Pat_7_S7_L001_paired_ashad_sorted_marked_rg
18	Pat_8_S8_L001_paired_ashad_sorted_marked_rg
19	Pat_9_S9_L001_paired_ashad_sorted_marked_rg
