index	sample
1	Quon_10_S117_L002_paired_ashad_sorted_marked_rg
2	Quon_12_S120_L002_paired_ashad_sorted_marked_rg
3	Quon_13_S123_L002_paired_ashad_sorted_marked_rg
4	Quon_17_S126_L002_paired_ashad_sorted_marked_rg
5	Quon_18_S71_L002_paired_ashad_sorted_marked_rg
6	Quon_19_S77_L002_paired_ashad_sorted_marked_rg
7	Quon_1_S70_L002_paired_ashad_sorted_marked_rg
8	Quon_20_S83_L002_paired_ashad_sorted_marked_rg
9	Quon_21_S89_L002_paired_ashad_sorted_marked_rg
10	Quon_25_S95_L002_paired_ashad_sorted_marked_rg
11	Quon_26_S101_L002_paired_ashad_sorted_marked_rg
12	Quon_27_S107_L002_paired_ashad_sorted_marked_rg
13	Quon_28_S113_L002_paired_ashad_sorted_marked_rg
14	Quon_2_S76_L002_paired_ashad_sorted_marked_rg
15	Quon_3_S82_L002_paired_ashad_sorted_marked_rg
16	Quon_4_S88_L002_paired_ashad_sorted_marked_rg
17	Quon_5_S94_L002_paired_ashad_sorted_marked_rg
18	Quon_6_S100_L002_paired_ashad_sorted_marked_rg
19	Quon_8_S106_L002_paired_ashad_sorted_marked_rg
20	Quon_9_S112_L002_paired_ashad_sorted_marked_rg
