index	sg
1	NW_024582116.1
2	NW_024582117.1
3	NW_024582118.1
4	NW_024582119.1
5	NW_024582120.1
6	NW_024582121.1
7	NW_024582122.1
8	NW_024582123.1
9	NW_024582124.1
10	NW_024582125.1
11	NW_024582126.1
12	NW_024582127.1
13	NW_024582128.1
14	NW_024582129.1
15	NW_024582130.1
16	NW_024582131.1
17	NW_024582132.1
18	NW_024582133.1
19	NW_024582134.1
20	NW_024582135.1
21	NW_024582136.1
22	NW_024582137.1
23	NW_024582138.1
24	NW_024582139.1
25	NW_024582140.1
26	NW_024582141.1
27	NW_024582142.1
28	NW_024582143.1
29	NW_024582144.1
30	NW_024582145.1
31	NW_024582146.1
32	NW_024582147.1
33	NW_024582148.1
34	NW_024582149.1
35	NW_024582150.1
36	NW_024582151.1
37	NW_024582152.1
38	NW_024582153.1
39	NW_024582154.1
40	NW_024582155.1
41	NW_024582156.1
42	NW_024582157.1
43	NW_024582158.1
44	NW_024582159.1
45	NW_024582160.1
46	NW_024582161.1
47	NW_024582162.1
48	NW_024582163.1
49	NW_024582164.1
