index	interval
1	chr1_1-1000000
2	chr1_1000001-2000000
3	chr1_2000001-3000000
4	chr1_3000001-4000000
5	chr1_4000001-5000000
6	chr1_5000001-6000000
7	chr1_6000001-7000000
8	chr1_7000001-8000000
9	chr1_8000001-9000000
10	chr1_9000001-10000000
11	chr1_10000001-11000000
12	chr1_11000001-12000000
13	chr1_12000001-13000000
14	chr1_13000001-14000000
15	chr1_14000001-15000000
16	chr1_15000001-16000000
17	chr1_16000001-17000000
18	chr1_17000001-18000000
19	chr1_18000001-19000000
20	chr1_19000001-20000000
21	chr1_20000001-21000000
22	chr1_21000001-22000000
23	chr1_22000001-23000000
24	chr1_23000001-24000000
25	chr1_24000001-25000000
26	chr1_25000001-26000000
27	chr1_26000001-27000000
28	chr1_27000001-28000000
29	chr1_28000001-29000000
30	chr1_29000001-30000000
31	chr1_30000001-31000000
32	chr1_31000001-32000000
33	chr1_32000001-33000000
34	chr1_33000001-34000000
35	chr1_34000001-35000000
36	chr1_35000001-36000000
37	chr1_36000001-37000000
38	chr1_37000001-38000000
39	chr1_38000001-39000000
40	chr1_39000001-40000000
41	chr1_40000001-41000000
42	chr1_41000001-42000000
43	chr1_42000001-43000000
44	chr1_43000001-44000000
45	chr1_44000001-45000000
46	chr1_45000001-46000000
47	chr1_46000001-47000000
48	chr1_47000001-48000000
49	chr1_48000001-49000000
50	chr1_49000001-50000000
51	chr1_50000001-51000000
52	chr1_51000001-52000000
53	chr1_52000001-53000000
54	chr1_53000001-54000000
55	chr1_54000001-55000000
56	chr1_55000001-56000000
57	chr1_56000001-56504578
58	chr2_1-1000000
59	chr2_1000001-2000000
60	chr2_2000001-3000000
61	chr2_3000001-4000000
62	chr2_4000001-5000000
63	chr2_5000001-6000000
64	chr2_6000001-7000000
65	chr2_7000001-8000000
66	chr2_8000001-9000000
67	chr2_9000001-10000000
68	chr2_10000001-11000000
69	chr2_11000001-12000000
70	chr2_12000001-13000000
71	chr2_13000001-14000000
72	chr2_14000001-15000000
73	chr2_15000001-16000000
74	chr2_16000001-17000000
75	chr2_17000001-18000000
76	chr2_18000001-19000000
77	chr2_19000001-20000000
78	chr2_20000001-21000000
79	chr2_21000001-22000000
80	chr2_22000001-23000000
81	chr2_23000001-24000000
82	chr2_24000001-25000000
83	chr2_25000001-26000000
84	chr2_26000001-27000000
85	chr2_27000001-28000000
86	chr2_28000001-29000000
87	chr2_29000001-30000000
88	chr2_30000001-31000000
89	chr2_31000001-32000000
90	chr2_32000001-33000000
91	chr2_33000001-34000000
92	chr2_34000001-35000000
93	chr2_35000001-36000000
94	chr2_36000001-37000000
95	chr2_37000001-38000000
96	chr2_38000001-39000000
97	chr2_39000001-40000000
98	chr2_40000001-41000000
99	chr2_41000001-42000000
100	chr2_42000001-43000000
101	chr2_43000001-44000000
102	chr2_44000001-44392265
103	chr3_1-1000000
104	chr3_1000001-2000000
105	chr3_2000001-3000000
106	chr3_3000001-4000000
107	chr3_4000001-5000000
108	chr3_5000001-6000000
109	chr3_6000001-7000000
110	chr3_7000001-8000000
111	chr3_8000001-9000000
112	chr3_9000001-10000000
113	chr3_10000001-11000000
114	chr3_11000001-12000000
115	chr3_12000001-13000000
116	chr3_13000001-14000000
117	chr3_14000001-15000000
118	chr3_15000001-16000000
119	chr3_16000001-17000000
120	chr3_17000001-18000000
121	chr3_18000001-19000000
122	chr3_19000001-20000000
123	chr3_20000001-21000000
124	chr3_21000001-22000000
125	chr3_22000001-23000000
126	chr3_23000001-24000000
127	chr3_24000001-25000000
128	chr3_25000001-26000000
129	chr3_26000001-27000000
130	chr3_27000001-28000000
131	chr3_28000001-29000000
132	chr3_29000001-30000000
133	chr3_30000001-31000000
134	chr3_31000001-32000000
135	chr3_32000001-33000000
136	chr3_33000001-34000000
137	chr3_34000001-35000000
138	chr3_35000001-36000000
139	chr3_36000001-37000000
140	chr3_37000001-38000000
141	chr3_38000001-39000000
142	chr3_39000001-40000000
143	chr3_40000001-41000000
144	chr3_41000001-41744500
145	chr4_1-1000000
146	chr4_1000001-2000000
147	chr4_2000001-3000000
148	chr4_3000001-4000000
149	chr4_4000001-5000000
150	chr4_5000001-6000000
151	chr4_6000001-7000000
152	chr4_7000001-8000000
153	chr4_8000001-9000000
154	chr4_9000001-10000000
155	chr4_10000001-11000000
156	chr4_11000001-12000000
157	chr4_12000001-13000000
158	chr4_13000001-14000000
159	chr4_14000001-15000000
160	chr4_15000001-16000000
161	chr4_16000001-17000000
162	chr4_17000001-18000000
163	chr4_18000001-19000000
164	chr4_19000001-20000000
165	chr4_20000001-21000000
166	chr4_21000001-22000000
167	chr4_22000001-23000000
168	chr4_23000001-24000000
169	chr4_24000001-25000000
170	chr4_25000001-26000000
171	chr4_26000001-27000000
172	chr4_27000001-28000000
173	chr4_28000001-29000000
174	chr4_29000001-30000000
175	chr4_30000001-31000000
176	chr4_31000001-32000000
177	chr4_32000001-33000000
178	chr4_33000001-34000000
179	chr4_34000001-35000000
180	chr4_35000001-36000000
181	chr4_36000001-37000000
182	chr4_37000001-38000000
183	chr4_38000001-39000000
184	chr4_39000001-40000000
185	chr4_40000001-40364483
186	chr5_1-1000000
187	chr5_1000001-2000000
188	chr5_2000001-3000000
189	chr5_3000001-4000000
190	chr5_4000001-5000000
191	chr5_5000001-6000000
192	chr5_6000001-7000000
193	chr5_7000001-8000000
194	chr5_8000001-9000000
195	chr5_9000001-10000000
196	chr5_10000001-11000000
197	chr5_11000001-12000000
198	chr5_12000001-13000000
199	chr5_13000001-14000000
200	chr5_14000001-15000000
201	chr5_15000001-16000000
202	chr5_16000001-17000000
203	chr5_17000001-18000000
