index	interval
1	chr1_9000001-9999999
2	chr1_10000000-11000000
3	chr3_9000001-9999999
4	chr3_10000000-11000000
5	chr4_9000001-9999999
6	chr4_10000000-11000000
7	chr5_9000001-9999999
8	chr5_10000000-11000000
9	chr6_9000001-9999999
10	chr6_10000000-11000000
11	chr7_9000001-9999999
12	chr7_10000000-11000000
13	chr8_9000001-9999999
14	chr8_10000000-11000000
15	chr9_9000001-9999999
16	chr9_10000000-11000000
17	chr10_9000001-9999999
18	chr10_10000000-11000000
19	chr11_9000001-9999999
20	chr11_10000000-11000000
21	chr12_9000001-9999999
22	chr12_10000000-11000000
23	chr13_9000001-9999999
24	chr13_10000000-11000000
25	chr14_9000001-9999999
26	chr14_10000000-11000000
27	chr15_9000001-9999999
28	chr15_10000000-11000000
29	chr16_9000001-9999999
30	chr16_10000000-11000000
31	chr17_9000001-9999999
32	chr17_10000000-11000000
33	chr2_9000001-9999999
34	chr2_10000000-11000000
35	chr18_9000001-9999999
36	chr18_10000000-11000000
37	chr19_9000001-9999999
38	chr19_10000000-11000000
39	chr20_9000001-9999999
40	chr20_10000000-11000000
41	chr21_9000001-9999999
42	chr21_10000000-11000000
43	chr22_9000001-9999999
44	chr22_10000000-11000000
45	chr23_9000001-9999999
46	chr23_10000000-11000000
47	chr24_9000001-9999999
48	chr24_10000000-11000000
